date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:02:00	98/98	---MCZ	200	added ('OK')	text/plain	etag:W/%226442f131-55%22	https://wwws.betterment.com/robots.txt		(from )
23:02:00	105/105	---M--	302	error ('Found')	text/html	date:Fri,%2021%20Apr%202023%2022:02:00%20GMT	https://wwws.betterment.com/	/Users/macbookair/websites/betterment%20login/wwws.betterment.com/index.html	(from )
23:02:01	130/130	---M--	302	error ('Found')	text/html	date:Fri,%2021%20Apr%202023%2022:02:01%20GMT	https://wwws.betterment.com/app/summary	/Users/macbookair/websites/betterment%20login/wwws.betterment.com/app/summary	(from https://wwws.betterment.com/)
23:02:03	50963/50963	---MCZ	200	added ('OK')	text/html	etag:W/%22ebc90f5b6c7774331bf4d7c7bbc78ef8%22	https://wwws.betterment.com/app/login?return_to=%2Fapp%2Fsummary	/Users/macbookair/websites/betterment%20login/wwws.betterment.com/app/login0e10.html	(from https://wwws.betterment.com/)
23:02:04	15086/15086	---MCZ	200	added ('OK')	image/x-icon	etag:W/%226197b298-3aee%22	https://wwws.betterment.com/favicon.ico	/Users/macbookair/websites/betterment%20login/wwws.betterment.com/favicon.ico	(from https://wwws.betterment.com/app/login?return_to=%2Fapp%2Fsummary)
23:02:04	1718/1718	---M--	200	added ('OK')	image/png	etag:%2264415708-83e%22	https://wwws.betterment.com/favicon.png	/Users/macbookair/websites/betterment%20login/wwws.betterment.com/favicon.png	(from https://wwws.betterment.com/app/login?return_to=%2Fapp%2Fsummary)
23:02:07	498357/498357	---MCZ	200	added ('OK')	text/css	etag:W/%22bf7a0643298fc43f602ceeafbc9919ab%22	https://wwws.betterment.com/assets/application-e68b5e08dcee6142f2630adb4abd4dd2c787b879df010e5e139e53eff6a5c0c7.css	/Users/macbookair/websites/betterment%20login/wwws.betterment.com/assets/application-e68b5e08dcee6142f2630adb4abd4dd2c787b879df010e5e139e53eff6a5c0c7.css	(from https://wwws.betterment.com/app/login?return_to=%2Fapp%2Fsummary)
23:02:09	468675/468675	---MCZ	200	added ('OK')	application/javascript	etag:W/%2231099d6977624277495ae3937501e2f8%22	https://wwws.betterment.com/assets/application-55e2a476012302b6822691990501093322b14cbaad7e6d82462bd7b876955e22.js	/Users/macbookair/websites/betterment%20login/wwws.betterment.com/assets/application-55e2a476012302b6822691990501093322b14cbaad7e6d82462bd7b876955e22.js	(from https://wwws.betterment.com/app/login?return_to=%2Fapp%2Fsummary)
23:02:10	50936/50936	---M-Z	200	added ('OK')	text/html	etag:W/%22346bfa4d37739ae87d0aa027e58a747a%22	https://wwws.betterment.com/app/login	/Users/macbookair/websites/betterment%20login/wwws.betterment.com/app/login.html	(from https://wwws.betterment.com/app/login?return_to=%2Fapp%2Fsummary)
23:02:10	5865/5865	---M-Z	200	added ('OK')	application/javascript	etag:W/%225913bbe035f05f94f5b39449660490b7%22	https://wwws.betterment.com/packs/js/runtime~application-2929f1d10661cf9b4a08.js	/Users/macbookair/websites/betterment%20login/wwws.betterment.com/packs/js/runtime_application-2929f1d10661cf9b4a08.js	(from https://wwws.betterment.com/app/login?return_to=%2Fapp%2Fsummary)
23:02:12	4353/4353	---M-Z	200	added ('OK')	application/javascript	etag:W/%22e33178088305448d2ac0b75c595d30ca%22	https://wwws.betterment.com/packs/js/application-3a163f962caddcf083a6.chunk.js	/Users/macbookair/websites/betterment%20login/wwws.betterment.com/packs/js/application-3a163f962caddcf083a6.chunk.js	(from https://wwws.betterment.com/app/login?return_to=%2Fapp%2Fsummary)
23:02:13	9048/9048	---M-Z	200	added ('OK')	text/css	etag:W/%2205e90f3dc6fa66ab937ac3bb159bd13a%22	https://wwws.betterment.com/packs/css/vendors~application-9ce762df.chunk.css	/Users/macbookair/websites/betterment%20login/wwws.betterment.com/packs/css/vendors_application-9ce762df.chunk.css	(from https://wwws.betterment.com/app/login?return_to=%2Fapp%2Fsummary)
23:02:16	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2021%20Apr%202023%2022:02:14%20GMT	http://www.googletagmanager.com/gtm.js?id=	/Users/macbookair/websites/betterment%20login/www.googletagmanager.com/gtm.b5445.delayed	(from https://wwws.betterment.com/app/login?return_to=%2Fapp%2Fsummary)
23:02:16	2859522/2859522	---MCZ	200	added ('OK')	application/javascript	etag:W/%2215056c1d5f3aac5adee15b4ada00eb6f%22	https://wwws.betterment.com/packs/js/vendors~application-5add0b62a89a388d34d4.chunk.js	/Users/macbookair/websites/betterment%20login/wwws.betterment.com/packs/js/vendors_application-5add0b62a89a388d34d4.chunk.js	(from https://wwws.betterment.com/app/login?return_to=%2Fapp%2Fsummary)
23:02:16	5789/5789	---M--	200	added ('OK')	image/png	etag:%2292f77fbb55126d4baf8e1eba2d51bc4f%22	https://wwws.betterment.com/assets/touch_icons/betterment/apple-touch-icon-120x120-30f243a6a96f3b3c8e279f29beccbc5418bd461f5dc3e8fb8f054b95cc24b1a1.png	/Users/macbookair/websites/betterment%20login/wwws.betterment.com/assets/touch_icons/betterment/apple-touch-icon-120x120-30f243a6a96f3b3c8e279f29beccbc5418bd461f5dc3e8fb8f054b95cc24b1a1.png	(from https://wwws.betterment.com/app/login?return_to=%2Fapp%2Fsummary)
23:02:19	8735/8735	---M--	200	added ('OK')	image/png	etag:%2283bc9eec5d8a804e75ac769ea1cdc70d%22	https://wwws.betterment.com/assets/touch_icons/betterment/apple-touch-icon-152x152-f68b2c6e92fd3f28f4c14a37e597182484a222c4a4d79544d2ac0063f5ab6cb0.png	/Users/macbookair/websites/betterment%20login/wwws.betterment.com/assets/touch_icons/betterment/apple-touch-icon-152x152-f68b2c6e92fd3f28f4c14a37e597182484a222c4a4d79544d2ac0063f5ab6cb0.png	(from https://wwws.betterment.com/app/login?return_to=%2Fapp%2Fsummary)
23:02:20	10377/10377	---M--	200	added ('OK')	image/png	etag:%2271b7b931f2c1b52c53ce0b006762f404%22	https://wwws.betterment.com/assets/touch_icons/betterment/apple-touch-icon-167x167-2081ca8c29f7ad1e2d1cf70699b0e55b6501c568be303478ec023f46b9b7ca2f.png	/Users/macbookair/websites/betterment%20login/wwws.betterment.com/assets/touch_icons/betterment/apple-touch-icon-167x167-2081ca8c29f7ad1e2d1cf70699b0e55b6501c568be303478ec023f46b9b7ca2f.png	(from https://wwws.betterment.com/app/login?return_to=%2Fapp%2Fsummary)
23:02:22	13969/13969	---M--	200	added ('OK')	image/png	etag:%22648f25637a5afaf4a5f7e1a9d40c438c%22	https://wwws.betterment.com/assets/touch_icons/betterment/apple-touch-icon-192x192-1b21adc47206de32600c97e77714bc46ef565a7674c2b7c6505251eeb538b5ca.png	/Users/macbookair/websites/betterment%20login/wwws.betterment.com/assets/touch_icons/betterment/apple-touch-icon-192x192-1b21adc47206de32600c97e77714bc46ef565a7674c2b7c6505251eeb538b5ca.png	(from https://wwws.betterment.com/app/login?return_to=%2Fapp%2Fsummary)
23:02:22	56031/56031	---M-Z	200	added ('OK')	text/html	etag:W/%22542c97b1c2bde92dc60d51eec0d5d147%22	https://wwws.betterment.com/app/password_resets/new	/Users/macbookair/websites/betterment%20login/wwws.betterment.com/app/password_resets/new.html	(from https://wwws.betterment.com/app/login?return_to=%2Fapp%2Fsummary)
23:02:26	468675/468675	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%2231099d6977624277495ae3937501e2f8%22	https://wwws.betterment.com/assets/application-55e2a476012302b6822691990501093322b14cbaad7e6d82462bd7b876955e22.js	/Users/macbookair/websites/betterment%20login/wwws.betterment.com/assets/application-55e2a476012302b6822691990501093322b14cbaad7e6d82462bd7b876955e22.js	(from https://wwws.betterment.com/app/login?return_to=%2Fapp%2Fsummary)
23:02:44	2859522/2859522	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%2215056c1d5f3aac5adee15b4ada00eb6f%22	https://wwws.betterment.com/packs/js/vendors~application-5add0b62a89a388d34d4.chunk.js	/Users/macbookair/websites/betterment%20login/wwws.betterment.com/packs/js/vendors_application-5add0b62a89a388d34d4.chunk.js	(from https://wwws.betterment.com/app/login?return_to=%2Fapp%2Fsummary)
23:02:45	193/193	UR-M--	412	error ('Precondition%20Failed')	text/html	date:Fri,%2021%20Apr%202023%2022:02:26%20GMT	https://wwws.betterment.com/assets/touch_icons/betterment/apple-touch-icon-152x152-f68b2c6e92fd3f28f4c14a37e597182484a222c4a4d79544d2ac0063f5ab6cb0.png	/Users/macbookair/websites/betterment%20login/wwws.betterment.com/assets/touch_icons/betterment/apple-touch-icon-152x152-f68b2c6e92fd3f28f4c14a37e597182484a222c4a4d79544d2ac0063f5ab6cb0.png	(from https://wwws.betterment.com/app/login?return_to=%2Fapp%2Fsummary)
23:02:46	217/217	UR-M-Z	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Fri,%2021%20Apr%202023%2022:02:23%20GMT	https://wwws.betterment.com/packs/js/runtime~application-2929f1d10661cf9b4a08.js	/Users/macbookair/websites/betterment%20login/wwws.betterment.com/packs/js/runtime_application-2929f1d10661cf9b4a08.js	(from https://wwws.betterment.com/app/login?return_to=%2Fapp%2Fsummary)
23:02:46	5789/5789	URF---	200	added ('OK%20(cached)')	image/png		https://wwws.betterment.com/assets/touch_icons/betterment/apple-touch-icon-120x120-30f243a6a96f3b3c8e279f29beccbc5418bd461f5dc3e8fb8f054b95cc24b1a1.png	/Users/macbookair/websites/betterment%20login/wwws.betterment.com/assets/touch_icons/betterment/apple-touch-icon-120x120-30f243a6a96f3b3c8e279f29beccbc5418bd461f5dc3e8fb8f054b95cc24b1a1.png	(from https://wwws.betterment.com/app/login?return_to=%2Fapp%2Fsummary)
23:02:47	10377/10377	URF---	200	added ('OK%20(cached)')	image/png		https://wwws.betterment.com/assets/touch_icons/betterment/apple-touch-icon-167x167-2081ca8c29f7ad1e2d1cf70699b0e55b6501c568be303478ec023f46b9b7ca2f.png	/Users/macbookair/websites/betterment%20login/wwws.betterment.com/assets/touch_icons/betterment/apple-touch-icon-167x167-2081ca8c29f7ad1e2d1cf70699b0e55b6501c568be303478ec023f46b9b7ca2f.png	(from https://wwws.betterment.com/app/login?return_to=%2Fapp%2Fsummary)
23:02:47	54109/54109	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%222797edd669427fca5dc4701a20424b73%22	https://wwws.betterment.com/assets/gt-america/GT-America-Standard-Light-de0b653f1adaacb771865f17b58e5ccddfd844938089b59ee2c1e502f27dce0e.eot?	/Users/macbookair/websites/betterment%20login/wwws.betterment.com/assets/gt-america/GT-America-Standard-Light-de0b653f1adaacb771865f17b58e5ccddfd844938089b59ee2c1e502f27dce0ed41d.eot	(from https://wwws.betterment.com/assets/application-e68b5e08dcee6142f2630adb4abd4dd2c787b879df010e5e139e53eff6a5c0c7.css)
23:02:47	13969/13969	URF---	200	added ('OK%20(cached)')	image/png		https://wwws.betterment.com/assets/touch_icons/betterment/apple-touch-icon-192x192-1b21adc47206de32600c97e77714bc46ef565a7674c2b7c6505251eeb538b5ca.png	/Users/macbookair/websites/betterment%20login/wwws.betterment.com/assets/touch_icons/betterment/apple-touch-icon-192x192-1b21adc47206de32600c97e77714bc46ef565a7674c2b7c6505251eeb538b5ca.png	(from https://wwws.betterment.com/app/login?return_to=%2Fapp%2Fsummary)
23:02:48	54109/54109	URF---	200	added ('OK%20(cached)')	application/eot		https://wwws.betterment.com/assets/gt-america/GT-America-Standard-Light-de0b653f1adaacb771865f17b58e5ccddfd844938089b59ee2c1e502f27dce0e.eot?	/Users/macbookair/websites/betterment%20login/wwws.betterment.com/assets/gt-america/GT-America-Standard-Light-de0b653f1adaacb771865f17b58e5ccddfd844938089b59ee2c1e502f27dce0ed41d.eot	(from https://wwws.betterment.com/assets/application-e68b5e08dcee6142f2630adb4abd4dd2c787b879df010e5e139e53eff6a5c0c7.css)
23:02:49	13625/13625	---M--	200	added ('OK')	image/png	etag:%226842e61117d69f07c5debcf57f248f7c%22	https://wwws.betterment.com/assets/style_closet/gradient-exclamation-ed123a950cb3bf30417e7e74c3f600296d069d506f8470f321d45f1dbc441d11.png	/Users/macbookair/websites/betterment%20login/wwws.betterment.com/assets/style_closet/gradient-exclamation-ed123a950cb3bf30417e7e74c3f600296d069d506f8470f321d45f1dbc441d11.png	(from https://wwws.betterment.com/assets/application-e68b5e08dcee6142f2630adb4abd4dd2c787b879df010e5e139e53eff6a5c0c7.css)
23:02:51	50936/-1	---M--	200	added ('OK')	text/html	etag:W/%22150a594e72a3b7936ec7fb676fac4f7c%22	https://wwws.betterment.com/app/login	/Users/macbookair/websites/betterment%20login/wwws.betterment.com/app/login.html	(from https://wwws.betterment.com/app/login?return_to=%2Fapp%2Fsummary)
23:02:53	56031/-1	---M--	200	added ('OK')	text/html	etag:W/%22b6661011bf3f58321c1ac705536881df%22	https://wwws.betterment.com/app/password_resets/new	/Users/macbookair/websites/betterment%20login/wwws.betterment.com/app/password_resets/new.html	(from https://wwws.betterment.com/app/login?return_to=%2Fapp%2Fsummary)
